Price,Open,High,Low,Close,Volume,Last
Ticker,IBKR,IBKR,IBKR,IBKR,IBKR,
Date,,,,,,
2015-01-02,27.207985722468386,27.347132926353943,26.4844177851697,26.929691314697266,554400,26.929691314697266
2015-01-05,27.04101055876606,27.133775958649103,26.632843860892375,26.790544509887695,530300,26.790544509887695
2015-01-06,27.143051317434782,27.143051317434782,26.373101544830785,26.623567581176758,486400,26.623567581176758
2015-01-07,26.901865455811325,26.911142173463272,26.345274782165323,26.734888076782227,368700,26.734888076782227
2015-01-08,26.994626383151363,27.5419402483173,26.76271378839809,27.477005004882812,441400,27.477005004882812
2015-01-09,27.50483943805212,27.532669592515266,26.81837821880542,26.901866912841797,371500,26.901866912841797
2015-01-12,27.022452354210497,27.235813267079312,26.326714631946707,26.688499450683594,400800,26.688499450683594
2015-01-13,26.92042034915056,27.300756946714905,26.465871775704223,26.901866912841797,838900,26.901866912841797
2015-01-14,26.623568049747806,27.14305179514867,26.382378725616352,26.89258575439453,831100,26.89258575439453
2015-01-15,26.855478660828787,26.911137187074473,26.215399416269094,26.22467613220215,400100,26.22467613220215
2015-01-16,24.81465119081974,26.206126958529257,23.710746586351366,26.057703018188477,6519000,26.057703018188477
2015-01-20,25.974216201488183,26.21540556425294,25.603156323908962,26.085535049438477,1782800,26.085535049438477
2015-01-21,25.538215737136277,27.180155573950195,25.33413152004161,26.929691314697266,1486900,26.929691314697266
2015-01-22,26.818373364558415,27.931554570650533,26.614290910161053,27.783130645751953,908600,27.783130645751953
2015-01-23,27.783131761124046,28.3026155191241,27.634707830266887,28.2655086517334,603700,28.2655086517334
2015-01-26,28.26550675037886,28.75716209411621,27.968658908632804,28.75716209411621,576900,28.75716209411621
2015-01-27,28.376832266070053,28.72006200050439,28.033600762282596,28.62729835510254,424200,28.62729835510254
2015-01-28,28.757165303320043,28.766442020578946,28.200574653256172,28.2840633392334,452900,28.2840633392334
2015-01-29,28.284060182826167,28.75716209411621,28.135636261953138,28.75716209411621,509800,28.75716209411621
2015-01-30,28.506694372976217,28.83137234413171,28.200569833167343,28.413928985595703,465900,28.413928985595703
2015-02-02,28.60874281572874,28.77572019614534,28.098535726102906,28.682954788208008,711500,28.682954788208008
2015-02-03,28.747882171126044,29.044729979759342,28.673670218967718,28.794265747070312,420500,28.794265747070312
2015-02-04,28.73861016737767,29.490008296687346,28.56235785795196,29.360136032104492,507000,29.360136032104492
2015-02-05,29.425076314522375,29.907456819200373,29.425076314522375,29.81468963623047,382500,29.81468963623047
2015-02-06,29.90745573610028,30.371281018033745,29.777581684645817,30.176471710205078,485300,30.176471710205078
2015-02-09,30.120812625701422,30.222854746075587,29.508561672809343,29.647708892822266,301900,29.647708892822266
2015-02-10,29.74047604510513,30.2692365424069,29.7219226106219,30.111534118652344,295900,30.111534118652344
2015-02-11,30.148636025496792,30.278506506798404,29.89817000925573,30.120807647705078,192100,30.120807647705078
2015-02-12,30.26923632039641,30.56608419253926,30.14864076649282,30.195022583007812,332500,30.195022583007812
2015-02-13,30.23212311514418,30.334165213312914,29.796126346134145,30.157909393310547,326600,30.157909393310547
2015-02-17,30.06515377719058,30.17647085084685,29.944558216484474,30.046600341796875,368700,30.046600341796875
2015-02-18,29.963105014151132,30.102253979425274,29.656980475382685,29.972383499145508,348100,29.972383499145508
2015-02-19,29.814680659900983,29.98165800026861,29.712638558709088,29.907447814941406,197700,29.907447814941406
2015-02-20,29.91673068470828,30.195025146127144,29.527117377110052,30.176471710205078,198900,30.176471710205078
2015-02-23,29.425068965932024,30.028041349825816,29.33230534483502,30.018766403198242,407700,30.018766403198242
2015-02-24,29.981660804151872,30.52897468460716,29.972385857133002,30.26923370361328,274800,30.26923370361328
2015-02-25,30.408811268884925,30.408811268884925,30.017998510810326,30.204099655151367,195700,30.204099655151367
2015-02-26,30.12035245234488,30.36228498988075,30.06452459720881,30.278539657592773,268000,30.278539657592773
2015-02-27,30.232019674267388,30.24132313495332,29.608581320778313,29.655107498168945,288600,29.655107498168945
2015-03-02,29.72954088106675,30.473941802978516,29.664404247456652,30.473941802978516,372000,30.473941802978516
2015-03-03,30.464643299622043,30.669351367954818,30.055220063788173,30.287845611572266,521100,30.287845611572266
2015-03-04,30.194798739648604,30.706574267523788,30.00869757962552,30.362289428710938,302400,30.362289428710938
2015-03-05,30.455329726385543,30.455329726385543,29.776063699197604,30.10173797607422,370700,30.10173797607422
2015-03-06,30.018000758545185,31.10669022723122,30.018000758545185,30.157577514648438,546900,30.157577514648438
2015-03-09,30.48325083931519,30.48325083931519,30.04591721431049,30.371591567993164,428300,30.371591567993164
2015-03-10,30.194796195247157,30.55769147444094,30.03660898020284,30.204099655151367,337400,30.204099655151367
2015-03-11,30.19479457120089,31.683596546684882,30.092438769839383,31.441667556762695,764500,31.441667556762695
2015-03-12,31.60916285533091,32.15815932979836,31.48819656784909,31.906923294067383,435800,31.906923294067383
2015-03-13,31.8603972538455,32.04649485630444,31.097382175510027,31.506805419921875,677400,31.506805419921875
